"occurrenceStatus","geometry"
"PRESENT",c(-80.5279, 24.905567)
"PRESENT",c(-80.50505, 24.923217)
"PRESENT",c(-80.50505, 24.923217)
"PRESENT",c(-80.218067, 25.20935)
"PRESENT",c(-80.964533, 24.6856)
"PRESENT",c(-80.459583, 24.952)
"PRESENT",c(-80.525283, 24.906533)
"PRESENT",c(-80.52685, 24.905917)
"PRESENT",c(-80.459583, 24.952)
"PRESENT",c(-80.525333, 24.906733)
"PRESENT",c(-80.457933, 24.95515)
"PRESENT",c(-80.457933, 24.95515)
"PRESENT",c(-80.964533, 24.6856)
"PRESENT",c(-80.617917, 24.904333)
"PRESENT",c(-80.6156, 24.904783)
"PRESENT",c(-80.96245, 24.685967)
"PRESENT",c(-80.209933, 25.2215)
"PRESENT",c(-80.617917, 24.904333)
"PRESENT",c(-80.96245, 24.685967)
"PRESENT",c(-80.209933, 25.2215)
"PRESENT",c(-80.13, 25.4039)
"PRESENT",c(-80.130417, 25.404583)
"PRESENT",c(-80.1307, 25.40455)
"PRESENT",c(-80.130467, 25.403867)
"PRESENT",c(-80.163533, 25.3871)
"PRESENT",c(-80.111683, 25.472233)
"PRESENT",c(-80.163533, 25.3871)
"PRESENT",c(-80.16565, 25.3396)
"PRESENT",c(-80.111683, 25.472233)
"PRESENT",c(-80.187383, 25.315583)
"PRESENT",c(-80.187383, 25.315583)
"PRESENT",c(-80.16305, 25.386583)
"PRESENT",c(-80.16305, 25.386583)
"PRESENT",c(-80.16565, 25.3396)
"PRESENT",c(-80.27975, 25.21605)
"PRESENT",c(-81.32705, 24.569783)
"PRESENT",c(-80.288167, 25.21345)
"PRESENT",c(-80.2867, 25.216517)
"PRESENT",c(-81.514483, 24.523317)
"PRESENT",c(-80.27975, 25.21605)
"PRESENT",c(-81.521567, 24.522483)
"PRESENT",c(-80.2867, 25.216517)
"PRESENT",c(-81.5217, 24.522333)
"PRESENT",c(-81.514083, 24.523117)
"PRESENT",c(-80.622933, 24.846217)
"PRESENT",c(-80.624, 24.845367)
"PRESENT",c(-80.624, 24.845367)
"PRESENT",c(-81.714183, 24.55015)
"PRESENT",c(-81.714333, 24.55005)
"PRESENT",c(-80.622933, 24.846217)
"PRESENT",c(-81.874567, 24.4596)
"PRESENT",c(-81.844633, 24.465833)
"PRESENT",c(-81.844733, 24.4653)
"PRESENT",c(-81.862133, 24.4559)
"PRESENT",c(-81.695083, 24.514467)
"PRESENT",c(-81.719883, 24.481183)
"PRESENT",c(-81.707033, 24.505583)
"PRESENT",c(-81.8616, 24.456)
"PRESENT",c(-81.7248, 24.477633)
"PRESENT",c(-81.724383, 24.478067)
"PRESENT",c(-81.6961, 24.514283)
"PRESENT",c(-81.719433, 24.480967)
"PRESENT",c(-81.7717, 24.482083)
"PRESENT",c(-81.772, 24.4828)
"PRESENT",c(-81.726967, 24.47065)
"PRESENT",c(-81.726617, 24.471167)
"PRESENT",c(-81.83205, 24.466283)
"PRESENT",c(-81.849267, 24.460033)
"PRESENT",c(-81.73305, 24.477883)
"PRESENT",c(-81.73285, 24.4776)
"PRESENT",c(-81.849617, 24.459583)
"PRESENT",c(-81.83175, 24.466417)
"PRESENT",c(-81.566467, 24.509767)
"PRESENT",c(-81.570417, 24.50835)
"PRESENT",c(-81.56615, 24.5101)
"PRESENT",c(-81.6494, 24.49525)
"PRESENT",c(-81.6493, 24.4959)
"PRESENT",c(-81.57025, 24.508017)
"PRESENT",c(-81.411817, 24.587333)
"PRESENT",c(-81.4117, 24.587633)
"PRESENT",c(-81.525117, 24.557983)
"PRESENT",c(-81.4775, 24.559617)
"PRESENT",c(-81.478117, 24.55945)
"PRESENT",c(-81.605333, 24.534383)
"PRESENT",c(-80.2592, 25.136167)
"PRESENT",c(-81.525617, 24.557983)
"PRESENT",c(-81.6045, 24.534667)
"PRESENT",c(-80.2658, 25.142767)
"PRESENT",c(-80.26535, 25.1419)
"PRESENT",c(-80.2592, 25.136167)
"PRESENT",c(-80.266533, 25.141867)
"PRESENT",c(-80.37825, 25.004417)
"PRESENT",c(-80.207467, 25.23175)
"PRESENT",c(-80.3771, 25.0051)
"PRESENT",c(-80.220317, 25.203117)
"PRESENT",c(-80.365717, 25.015833)
"PRESENT",c(-80.220433, 25.203317)
"PRESENT",c(-80.2662, 25.142717)
"PRESENT",c(-80.366717, 25.014217)
"PRESENT",c(-80.21625, 25.205117)
"PRESENT",c(-80.343283, 25.037217)
"PRESENT",c(-80.20645, 25.2175)
"PRESENT",c(-80.34465, 25.035983)
"PRESENT",c(-80.207083, 25.217817)
"PRESENT",c(-80.206917, 25.231867)
"PRESENT",c(-80.216683, 25.2045)
"PRESENT",c(-80.216633, 25.22455)
"PRESENT",c(-80.371, 25.014167)
"PRESENT",c(-80.370967, 25.014633)
"PRESENT",c(-80.373267, 25.015433)
"PRESENT",c(-80.214233, 25.224383)
"PRESENT",c(-80.37305, 25.01595)
"PRESENT",c(-80.22965, 25.20595)
"PRESENT",c(-80.211733, 25.226533)
"PRESENT",c(-80.211183, 25.2267)
"PRESENT",c(-80.229467, 25.2059)
"PRESENT",c(-80.2617, 25.143783)
"PRESENT",c(-80.22715, 25.20335)
"PRESENT",c(-80.2267, 25.204517)
"PRESENT",c(-80.262367, 25.14345)
"PRESENT",c(-80.28595, 25.158883)
"PRESENT",c(-80.2943, 25.139733)
"PRESENT",c(-80.25845, 25.148883)
"PRESENT",c(-80.2863, 25.158317)
"PRESENT",c(-80.291233, 25.131167)
"PRESENT",c(-80.258617, 25.147817)
"PRESENT",c(-80.2943, 25.139733)
"PRESENT",c(-80.291533, 25.131283)
"PRESENT",c(-80.400167, 24.993533)
"PRESENT",c(-80.399533, 24.993883)
"PRESENT",c(-80.238483, 25.185317)
"PRESENT",c(-80.406267, 24.987167)
"PRESENT",c(-80.221833, 25.19375)
"PRESENT",c(-80.221917, 25.19435)
"PRESENT",c(-80.406633, 24.986317)
"PRESENT",c(-80.167617, 25.28525)
"PRESENT",c(-80.237633, 25.18565)
"PRESENT",c(-80.2386, 25.17685)
"PRESENT",c(-80.238383, 25.177567)
"PRESENT",c(-80.1676, 25.285833)
"PRESENT",c(-80.404383, 24.990167)
"PRESENT",c(-80.169617, 25.28195)
"PRESENT",c(-80.170333, 25.281133)
"PRESENT",c(-80.441533, 24.965)
"PRESENT",c(-80.44245, 24.965167)
"PRESENT",c(-80.17505, 25.2794)
"PRESENT",c(-80.4048, 24.9903)
"PRESENT",c(-80.226417, 25.186183)
"PRESENT",c(-80.174983, 25.280133)
"PRESENT",c(-80.226933, 25.18185)
"PRESENT",c(-80.226717, 25.1864)
"PRESENT",c(-80.38305, 25.0045)
"PRESENT",c(-80.22625, 25.181733)
"PRESENT",c(-80.3831, 25.004217)
"PRESENT",c(-80.4014, 24.997633)
"PRESENT",c(-80.203617, 25.2651)
"PRESENT",c(-80.267883, 25.136667)
"PRESENT",c(-80.203067, 25.2657)
"PRESENT",c(-80.202567, 25.261367)
"PRESENT",c(-80.201967, 25.260917)
"PRESENT",c(-80.4022, 24.9972)
"PRESENT",c(-80.267217, 25.13725)
"PRESENT",c(-80.252533, 25.155533)
"PRESENT",c(-80.252467, 25.155917)
"PRESENT",c(-80.277917, 25.126617)
"PRESENT",c(-80.2564, 25.192567)
"PRESENT",c(-80.277633, 25.12685)
"PRESENT",c(-80.424233, 24.982333)
"PRESENT",c(-80.423867, 24.982833)
"PRESENT",c(-80.324433, 25.092167)
"PRESENT",c(-80.255783, 25.1925)
"PRESENT",c(-80.324, 25.090883)
"PRESENT",c(-80.393617, 25.004833)
"PRESENT",c(-80.323833, 25.093117)
"PRESENT",c(-80.323317, 25.092617)
"PRESENT",c(-80.22665, 25.201467)
"PRESENT",c(-80.39325, 25.000517)
"PRESENT",c(-80.452517, 24.9872)
"PRESENT",c(-80.452833, 24.98705)
"PRESENT",c(-80.2266, 25.201033)
"PRESENT",c(-80.224433, 25.197567)
"PRESENT",c(-80.226683, 25.1974)
"PRESENT",c(-80.22665, 25.197833)
"PRESENT",c(-80.224267, 25.19725)
"PRESENT",c(-80.225217, 25.195533)
"PRESENT",c(-80.366767, 25.019067)
"PRESENT",c(-80.263167, 25.136383)
"PRESENT",c(-80.262983, 25.136833)
"PRESENT",c(-80.224767, 25.195583)
"PRESENT",c(-80.250483, 25.1878)
"PRESENT",c(-80.366767, 25.019067)
"PRESENT",c(-80.288833, 25.1368)
"PRESENT",c(-80.251017, 25.18715)
"PRESENT",c(-80.2939, 25.145183)
"PRESENT",c(-80.293683, 25.1449)
"PRESENT",c(-80.263967, 25.165767)
"PRESENT",c(-80.263967, 25.165767)
"PRESENT",c(-80.387233, 25.032383)
"PRESENT",c(-80.289733, 25.136117)
"PRESENT",c(-80.289733, 25.136117)
"PRESENT",c(-80.288833, 25.1368)
"PRESENT",c(-80.38615, 25.032)
"PRESENT",c(-80.414717, 25.017683)
"PRESENT",c(-80.33515, 25.056767)
"PRESENT",c(-80.334833, 25.056417)
"PRESENT",c(-80.43425, 25.007883)
"PRESENT",c(-80.415733, 25.017417)
"PRESENT",c(-80.343317, 25.048367)
"PRESENT",c(-80.4447, 25.009733)
"PRESENT",c(-80.443733, 25.009367)
"PRESENT",c(-80.226067, 25.331983)
"PRESENT",c(-80.343583, 25.048733)
"PRESENT",c(-80.2256, 25.333833)
"PRESENT",c(-80.433367, 25.008167)
"PRESENT",c(-80.226067, 25.331983)
"PRESENT",c(-80.093483, 25.607933)
"PRESENT",c(-80.228233, 25.33075)
"PRESENT",c(-80.2256, 25.333833)
"PRESENT",c(-80.23215, 25.328833)
"PRESENT",c(-80.228233, 25.33075)
"PRESENT",c(-80.093083, 25.6079)
"PRESENT",c(-80.23215, 25.328833)
"PRESENT",c(-80.111883, 25.541917)
"PRESENT",c(-80.116133, 25.505567)
"PRESENT",c(-80.101167, 25.598667)
"PRESENT",c(-80.110833, 25.542267)
"PRESENT",c(-80.11145, 25.5415)
"PRESENT",c(-80.1003, 25.60425)
"PRESENT",c(-80.110867, 25.5421)
"PRESENT",c(-80.099983, 25.60365)
"PRESENT",c(-80.092683, 25.5728)
"PRESENT",c(-80.101567, 25.600017)
"PRESENT",c(-80.092567, 25.570033)
"PRESENT",c(-80.092683, 25.5728)
"PRESENT",c(-80.108533, 25.597717)
"PRESENT",c(-80.137667, 25.366)
"PRESENT",c(-80.09475, 25.5537)
"PRESENT",c(-80.10875, 25.5978)
"PRESENT",c(-80.1157, 25.50535)
"PRESENT",c(-80.09235, 25.570067)
"PRESENT",c(-80.10595, 25.52065)
"PRESENT",c(-80.095233, 25.554233)
"PRESENT",c(-80.105817, 25.521067)
"PRESENT",c(-80.137667, 25.366)
"PRESENT",c(-80.090067, 25.670517)
"PRESENT",c(-80.139817, 25.362533)
"PRESENT",c(-80.12235, 25.429583)
"PRESENT",c(-80.11985, 25.441183)
"PRESENT",c(-80.119933, 25.44045)
"PRESENT",c(-80.08975, 25.703433)
"PRESENT",c(-80.1011, 25.544867)
"PRESENT",c(-80.132383, 25.409317)
"PRESENT",c(-80.121867, 25.429533)
"PRESENT",c(-80.13225, 25.4101)
"PRESENT",c(-80.121583, 25.438733)
"PRESENT",c(-80.101083, 25.54465)
"PRESENT",c(-80.139883, 25.363317)
"PRESENT",c(-80.0949, 25.643567)
"PRESENT",c(-80.093833, 25.673)
"PRESENT",c(-80.155017, 25.35435)
"PRESENT",c(-80.12165, 25.5022)
"PRESENT",c(-80.105133, 25.5694)
"PRESENT",c(-80.121767, 25.438167)
"PRESENT",c(-80.12165, 25.503433)
"PRESENT",c(-80.154933, 25.35475)
"PRESENT",c(-80.10145, 25.566117)
"PRESENT",c(-80.093083, 25.672717)
"PRESENT",c(-80.09555, 25.643867)
"PRESENT",c(-80.1253, 25.422633)
"PRESENT",c(-80.101017, 25.565983)
"PRESENT",c(-80.106467, 25.568967)
"PRESENT",c(-80.131667, 25.469617)
"PRESENT",c(-80.132, 25.469567)
"PRESENT",c(-80.12545, 25.421683)
"PRESENT",c(-80.16835, 25.32805)
"PRESENT",c(-80.114883, 25.55465)
"PRESENT",c(-80.115317, 25.5543)
"PRESENT",c(-80.139167, 25.3698)
"PRESENT",c(-80.1311, 25.455567)
"PRESENT",c(-80.139167, 25.3698)
"PRESENT",c(-80.135, 25.463033)
"PRESENT",c(-80.131283, 25.45475)
"PRESENT",c(-80.134933, 25.4624)
"PRESENT",c(-80.1689, 25.329083)
"PRESENT",c(-80.146017, 25.46055)
"PRESENT",c(-80.12325, 25.436583)
"PRESENT",c(-80.123483, 25.437117)
"PRESENT",c(-80.1534, 25.470633)
"PRESENT",c(-80.1673, 25.4163)
"PRESENT",c(-80.162383, 25.418483)
"PRESENT",c(-80.1711, 25.3985)
"PRESENT",c(-80.162483, 25.418817)
"PRESENT",c(-80.1662, 25.41265)
"PRESENT",c(-80.166583, 25.411567)
"PRESENT",c(-80.171217, 25.397667)
"PRESENT",c(-80.170517, 25.50005)
"PRESENT",c(-80.182467, 25.3739)
"PRESENT",c(-80.176567, 25.4441)
"PRESENT",c(-80.176567, 25.4441)
"PRESENT",c(-80.170567, 25.499917)
"PRESENT",c(-80.189117, 25.4412)
"PRESENT",c(-80.189117, 25.4412)
"PRESENT",c(-80.09995, 25.6422)
"PRESENT",c(-80.0997, 25.642367)
"PRESENT",c(-80.15255, 25.4108)
"PRESENT",c(-80.0959, 25.6311)
"PRESENT",c(-80.0959, 25.6311)
"PRESENT",c(-80.15255, 25.4108)
"PRESENT",c(-80.1688, 25.463917)
"PRESENT",c(-80.196383, 25.407533)
"PRESENT",c(-80.1688, 25.463917)
"PRESENT",c(-80.14835, 25.486167)
"PRESENT",c(-80.14835, 25.486167)
"PRESENT",c(-80.094333, 25.589367)
"PRESENT",c(-80.101533, 25.5561)
"PRESENT",c(-80.101167, 25.556383)
"PRESENT",c(-80.156733, 25.3268)
"PRESENT",c(-80.156733, 25.3268)
"PRESENT",c(-80.165867, 25.3051)
"PRESENT",c(-80.196467, 25.40715)
"PRESENT",c(-80.165867, 25.3051)
"PRESENT",c(-80.180367, 25.297567)
"PRESENT",c(-80.196467, 25.40715)
"PRESENT",c(-80.153933, 25.3063)
"PRESENT",c(-80.1633, 25.303733)
"PRESENT",c(-80.1633, 25.303733)
"PRESENT",c(-80.177183, 25.283583)
"PRESENT",c(-80.180367, 25.297567)
"PRESENT",c(-80.177183, 25.283583)
"PRESENT",c(-80.2027, 25.222483)
"PRESENT",c(-81.860533, 24.448867)
"PRESENT",c(-80.1918, 25.263367)
"PRESENT",c(-80.1918, 25.263367)
"PRESENT",c(-80.204, 25.221367)
"PRESENT",c(-81.860533, 24.448867)
"PRESENT",c(-81.977317, 24.442833)
"PRESENT",c(-81.956917, 24.442367)
"PRESENT",c(-81.977317, 24.442833)
"PRESENT",c(-81.956917, 24.442367)
"PRESENT",c(-81.810217, 24.465533)
"PRESENT",c(-81.850867, 24.453833)
"PRESENT",c(-81.810217, 24.465533)
"PRESENT",c(-81.8156, 24.464833)
"PRESENT",c(-81.850867, 24.453833)
"PRESENT",c(-81.8156, 24.464833)
"PRESENT",c(-81.531233, 24.5492)
"PRESENT",c(-81.531233, 24.5492)
"PRESENT",c(-81.517583, 24.523183)
"PRESENT",c(-81.520833, 24.522333)
"PRESENT",c(-81.520833, 24.522333)
"PRESENT",c(-81.408017, 24.5454)
"PRESENT",c(-81.408017, 24.5454)
"PRESENT",c(-81.517583, 24.523183)
"PRESENT",c(-81.408017, 24.5454)
"PRESENT",c(-81.408017, 24.5454)
"PRESENT",c(-81.408017, 24.5454)
"PRESENT",c(-80.755667, 24.76555)
"PRESENT",c(-80.765733, 24.7584)
"PRESENT",c(-80.755617, 24.763767)
"PRESENT",c(-80.755667, 24.76555)
"PRESENT",c(-80.765733, 24.7584)
"PRESENT",c(-81.408017, 24.5454)
"PRESENT",c(-80.755617, 24.763767)
"PRESENT",c(-80.780117, 24.744917)
"PRESENT",c(-80.780117, 24.744917)
"PRESENT",c(-80.466283, 24.950533)
"PRESENT",c(-80.466283, 24.950533)
"PRESENT",c(-80.45095, 24.953467)
"PRESENT",c(-80.45095, 24.953467)
"PRESENT",c(-80.454417, 24.949467)
"PRESENT",c(-80.461683, 24.949867)
"PRESENT",c(-80.454417, 24.949467)
"PRESENT",c(-80.460933, 24.946817)
"PRESENT",c(-80.461683, 24.949867)
"PRESENT",c(-80.22855, 25.204667)
"PRESENT",c(-81.699683, 24.485467)
"PRESENT",c(-80.22855, 25.204667)
"PRESENT",c(-80.22855, 25.204667)
"PRESENT",c(-80.460933, 24.946817)
"PRESENT",c(-81.699683, 24.485467)
"PRESENT",c(-80.22855, 25.204667)
"PRESENT",c(-80.22915, 25.2043)
"PRESENT",c(-80.22915, 25.2043)
"PRESENT",c(-80.22915, 25.2043)
"PRESENT",c(-80.22915, 25.2043)
"PRESENT",c(-80.231733, 25.2012)
"PRESENT",c(-80.231733, 25.2012)
"PRESENT",c(-80.231733, 25.2012)
"PRESENT",c(-80.231733, 25.2012)
"PRESENT",c(-80.369583, 25.0431)
"PRESENT",c(-80.369583, 25.0431)
"PRESENT",c(-80.416417, 25.011617)
"PRESENT",c(-80.369583, 25.0431)
"PRESENT",c(-80.416417, 25.011617)
"PRESENT",c(-80.369583, 25.0431)
"PRESENT",c(-80.416417, 25.011617)
"PRESENT",c(-80.416417, 25.011617)
"PRESENT",c(-80.422733, 25.003117)
"PRESENT",c(-80.422733, 25.003117)
"PRESENT",c(-80.422733, 25.003117)
"PRESENT",c(-80.393083, 25.005033)
"PRESENT",c(-80.422733, 25.003117)
"PRESENT",c(-80.393083, 25.005033)
"PRESENT",c(-80.424867, 24.97795)
"PRESENT",c(-80.393083, 25.005033)
"PRESENT",c(-80.424867, 24.97795)
"PRESENT",c(-80.393083, 25.005033)
"PRESENT",c(-80.424867, 24.97795)
"PRESENT",c(-80.424867, 24.97795)
"PRESENT",c(-80.4354, 24.985017)
"PRESENT",c(-80.4354, 24.985017)
"PRESENT",c(-80.4354, 24.985017)
"PRESENT",c(-80.4354, 24.985017)
"PRESENT",c(-80.4354, 24.985017)
"PRESENT",c(-80.315683, 25.07515)
"PRESENT",c(-80.4354, 24.985017)
"PRESENT",c(-80.4354, 24.985017)
"PRESENT",c(-80.4354, 24.985017)
"PRESENT",c(-80.315683, 25.07515)
"PRESENT",c(-80.315683, 25.07515)
"PRESENT",c(-80.31645, 25.0747)
"PRESENT",c(-80.315683, 25.07515)
"PRESENT",c(-80.31645, 25.0747)
"PRESENT",c(-80.32235, 25.068033)
"PRESENT",c(-80.31645, 25.0747)
"PRESENT",c(-80.31645, 25.0747)
"PRESENT",c(-80.32235, 25.068033)
"PRESENT",c(-80.32235, 25.068033)
"PRESENT",c(-80.3436, 25.045217)
"PRESENT",c(-80.32235, 25.068033)
"PRESENT",c(-80.33845, 25.049817)
"PRESENT",c(-80.33845, 25.049817)
"PRESENT",c(-80.33845, 25.049817)
"PRESENT",c(-80.3436, 25.045217)
"PRESENT",c(-80.33845, 25.049817)
"PRESENT",c(-80.412883, 24.989633)
"PRESENT",c(-80.412883, 24.989633)
"PRESENT",c(-80.412883, 24.989633)
"PRESENT",c(-80.412883, 24.989633)
"PRESENT",c(-80.3436, 25.045217)
"PRESENT",c(-80.3436, 25.045217)
"PRESENT",c(-80.37965, 25.073133)
"PRESENT",c(-80.37965, 25.073133)
"PRESENT",c(-80.3906, 25.073533)
"PRESENT",c(-80.371383, 25.040783)
"PRESENT",c(-80.348917, 25.03375)
"PRESENT",c(-80.348917, 25.03375)
"PRESENT",c(-80.371383, 25.040783)
"PRESENT",c(-80.37665, 25.0083)
"PRESENT",c(-80.3906, 25.073533)
"PRESENT",c(-80.206617, 25.2352)
"PRESENT",c(-80.206617, 25.2352)
"PRESENT",c(-80.37665, 25.0083)
"PRESENT",c(-80.214633, 25.20975)
"PRESENT",c(-80.20995, 25.221533)
"PRESENT",c(-80.20995, 25.221533)
"PRESENT",c(-80.218267, 25.209383)
"PRESENT",c(-80.214633, 25.20975)
"PRESENT",c(-80.2245, 25.208517)
"PRESENT",c(-80.218267, 25.209383)
"PRESENT",c(-80.276217, 25.119533)
"PRESENT",c(-80.276217, 25.119533)
"PRESENT",c(-80.2245, 25.208517)
"PRESENT",c(-80.283083, 25.121167)
"PRESENT",c(-80.283083, 25.121167)
"PRESENT",c(-80.297317, 25.1174)
"PRESENT",c(-80.256, 25.157717)
"PRESENT",c(-80.24575, 25.175833)
"PRESENT",c(-80.297317, 25.1174)
"PRESENT",c(-80.24575, 25.175833)
"PRESENT",c(-80.251833, 25.155233)
"PRESENT",c(-80.256, 25.157717)
"PRESENT",c(-80.257333, 25.143717)
"PRESENT",c(-80.260017, 25.139867)
"PRESENT",c(-80.257333, 25.143717)
"PRESENT",c(-80.251833, 25.155233)
"PRESENT",c(-80.456133, 24.959567)
"PRESENT",c(-80.260017, 25.139867)
"PRESENT",c(-80.294233, 25.139817)
"PRESENT",c(-80.4572, 24.9585)
"PRESENT",c(-80.292333, 25.1336)
"PRESENT",c(-80.294233, 25.139817)
"PRESENT",c(-80.4572, 24.9585)
"PRESENT",c(-80.456133, 24.959567)
"PRESENT",c(-80.4572, 24.9585)
"PRESENT",c(-80.456133, 24.959567)
"PRESENT",c(-80.292333, 25.1336)
"PRESENT",c(-80.457417, 24.956167)
"PRESENT",c(-80.456133, 24.959567)
"PRESENT",c(-80.457417, 24.956167)
"PRESENT",c(-80.459467, 24.9521)
"PRESENT",c(-80.4572, 24.9585)
"PRESENT",c(-80.457417, 24.956167)
"PRESENT",c(-80.459467, 24.9521)
"PRESENT",c(-80.459467, 24.9521)
"PRESENT",c(-80.459467, 24.9521)
"PRESENT",c(-80.457417, 24.956167)
"PRESENT",c(-80.466217, 24.94955)
"PRESENT",c(-80.466217, 24.94955)
"PRESENT",c(-80.466217, 24.94955)
"PRESENT",c(-80.466217, 24.94955)
"PRESENT",c(-80.4673, 24.939767)
"PRESENT",c(-80.4673, 24.939767)
"PRESENT",c(-80.4673, 24.939767)
"PRESENT",c(-80.4673, 24.939767)
"PRESENT",c(-80.483183, 24.940133)
"PRESENT",c(-80.483183, 24.940133)
"PRESENT",c(-80.483183, 24.940133)
"PRESENT",c(-80.50515, 24.922933)
"PRESENT",c(-80.50585, 24.922167)
"PRESENT",c(-80.50515, 24.922933)
"PRESENT",c(-80.50515, 24.922933)
"PRESENT",c(-80.483183, 24.940133)
"PRESENT",c(-80.50515, 24.922933)
"PRESENT",c(-80.50585, 24.922167)
"PRESENT",c(-80.50585, 24.922167)
"PRESENT",c(-80.50585, 24.922167)
"PRESENT",c(-80.526483, 24.907983)
"PRESENT",c(-80.526483, 24.907983)
"PRESENT",c(-80.526483, 24.907983)
"PRESENT",c(-80.526483, 24.907983)
"PRESENT",c(-80.59845, 24.875467)
"PRESENT",c(-80.533983, 24.9058)
"PRESENT",c(-80.533983, 24.9058)
"PRESENT",c(-80.59845, 24.875467)
"PRESENT",c(-80.619617, 24.851717)
"PRESENT",c(-80.6191, 24.850933)
"PRESENT",c(-80.52605, 24.904167)
"PRESENT",c(-80.52605, 24.904167)
"PRESENT",c(-80.6191, 24.850933)
"PRESENT",c(-80.6217, 24.846983)
"PRESENT",c(-80.619617, 24.851717)
"PRESENT",c(-80.445017, 24.962467)
"PRESENT",c(-80.6241, 24.845217)
"PRESENT",c(-80.6241, 24.845217)
"PRESENT",c(-80.6217, 24.846983)
"PRESENT",c(-80.459333, 24.952)
"PRESENT",c(-80.445017, 24.962467)
"PRESENT",c(-80.456433, 24.952683)
"PRESENT",c(-80.547867, 24.935233)
"PRESENT",c(-80.456433, 24.952683)
"PRESENT",c(-80.45235, 24.951)
"PRESENT",c(-80.459333, 24.952)
"PRESENT",c(-80.45435, 24.950967)
"PRESENT",c(-80.45235, 24.951)
"PRESENT",c(-80.45435, 24.950967)
"PRESENT",c(-80.547867, 24.935233)
"PRESENT",c(-80.505133, 24.922783)
"PRESENT",c(-80.52565, 24.908817)
"PRESENT",c(-80.52565, 24.908817)
"PRESENT",c(-80.52565, 24.908817)
"PRESENT",c(-80.52565, 24.908817)
"PRESENT",c(-80.505133, 24.922783)
"PRESENT",c(-80.6071, 24.904133)
"PRESENT",c(-80.614967, 24.904133)
"PRESENT",c(-80.614967, 24.904133)
"PRESENT",c(-80.6071, 24.904133)
"PRESENT",c(-80.410767, 24.990383)
"PRESENT",c(-80.410767, 24.990383)
"PRESENT",c(-80.403767, 24.988367)
"PRESENT",c(-80.50175, 24.95045)
"PRESENT",c(-80.485067, 24.96295)
"PRESENT",c(-80.422733, 24.978)
"PRESENT",c(-80.485067, 24.96295)
"PRESENT",c(-80.422733, 24.978)
"PRESENT",c(-80.403767, 24.988367)
"PRESENT",c(-80.50175, 24.95045)
"PRESENT",c(-80.4841, 24.9383)
"PRESENT",c(-80.49575, 24.938717)
"PRESENT",c(-80.549367, 24.933883)
"PRESENT",c(-80.4841, 24.9383)
"PRESENT",c(-80.49575, 24.938717)
"PRESENT",c(-80.549367, 24.933883)
"PRESENT",c(-81.0169, 24.693833)
"PRESENT",c(-80.411367, 24.98715)
"PRESENT",c(-80.96355, 24.702167)
"PRESENT",c(-81.0169, 24.693833)
"PRESENT",c(-80.96355, 24.702167)
"PRESENT",c(-80.411367, 24.98715)
"PRESENT",c(-80.965933, 24.700717)
"PRESENT",c(-80.411367, 24.98715)
"PRESENT",c(-80.965933, 24.700717)
"PRESENT",c(-80.411367, 24.98715)
"PRESENT",c(-80.416117, 24.9848)
"PRESENT",c(-80.416117, 24.9848)
"PRESENT",c(-80.416117, 24.9848)
"PRESENT",c(-80.416117, 24.9848)
"PRESENT",c(-80.1524, 25.474833)
"PRESENT",c(-80.1524, 25.474833)
"PRESENT",c(-80.168183, 25.463933)
"PRESENT",c(-80.151833, 25.410633)
"PRESENT",c(-80.168183, 25.463933)
"PRESENT",c(-80.164933, 25.433883)
"PRESENT",c(-80.151833, 25.410633)
"PRESENT",c(-80.164933, 25.433883)
"PRESENT",c(-80.165117, 25.384967)
"PRESENT",c(-80.188683, 25.361217)
"PRESENT",c(-80.165117, 25.384967)
"PRESENT",c(-80.188683, 25.361217)
"PRESENT",c(-80.367983, 25.018083)
"PRESENT",c(-80.165717, 25.339517)
"PRESENT",c(-80.165717, 25.339517)
"PRESENT",c(-80.367983, 25.018083)
"PRESENT",c(-80.367983, 25.018083)
"PRESENT",c(-80.367983, 25.018083)
"PRESENT",c(-80.375167, 25.010317)
"PRESENT",c(-80.375167, 25.010317)
"PRESENT",c(-80.375167, 25.010317)
"PRESENT",c(-80.375167, 25.010317)
"PRESENT",c(-80.37715, 25.010317)
"PRESENT",c(-80.37715, 25.010317)
"PRESENT",c(-80.256967, 25.144817)
"PRESENT",c(-80.37715, 25.010317)
"PRESENT",c(-80.37715, 25.010317)
"PRESENT",c(-80.226783, 25.196883)
"PRESENT",c(-80.256133, 25.146167)
"PRESENT",c(-80.226783, 25.196883)
"PRESENT",c(-80.256133, 25.146167)
"PRESENT",c(-80.256133, 25.146167)
"PRESENT",c(-80.256967, 25.144817)
"PRESENT",c(-80.256133, 25.146167)
"PRESENT",c(-80.187517, 25.315517)
"PRESENT",c(-80.217517, 25.295817)
"PRESENT",c(-80.256967, 25.144817)
"PRESENT",c(-80.256967, 25.144817)
"PRESENT",c(-80.213733, 25.304067)
"PRESENT",c(-80.187517, 25.315517)
"PRESENT",c(-80.213733, 25.304067)
"PRESENT",c(-80.217517, 25.295817)
"PRESENT",c(-80.219633, 25.208317)
"PRESENT",c(-80.24695, 25.27285)
"PRESENT",c(-80.206467, 25.283683)
"PRESENT",c(-80.24695, 25.27285)
"PRESENT",c(-80.206467, 25.283683)
"PRESENT",c(-80.219633, 25.208317)
"PRESENT",c(-80.208367, 25.232717)
